Arquivo: att48
Tipo Busca Local: 0
Geração	Solução
0	162453,92476505777
1	145216,55420368002
2	144309,893390477
5	141476,9558365259
7	136393,2641947785
12	135486,94461446477
13	133112,98211279447
16	128151,1279019609
19	127735,8765681338
26	125712,63523131909
29	123071,44507086399
30	120277,02531312275
32	117368,70943899437
33	112438,98018276895
34	111562,18709999773
36	108641,78808173395
45	108122,03245627452
49	105442,21077593244
76	104719,229423822
86	102996,48234573202
88	102150,58012123498
91	100427,83304314499
97	99502,40877972373
99	98293,61247924317
105	97564,42838302672
111	97368,59181760637
139	95028,15900214459
143	93366,16193896471
152	92274,23638361684
168	91650,26434471898
182	89971,3412296633
201	86567,04532087436
282	85161,74423471179
323	84908,09697243873
387	84699,80355307595
388	82544,18164382782
393	81367,68531148999
404	78610,08430163348
411	75990,23027517015
444	75948,95268702228
474	74352,6491692934
592	73976,77904603264
598	72604,89618159727
599	72513,58379917641
610	71345,20693496916
663	69721,99343944217
742	67809,56341163261
838	65819,530442863
1182	65010,41713626305
1199	64654,23997304642
1205	64293,49674595132
1271	63403,28718496435
1409	63083,839905639026
1502	61898,00097525253
1741	61003,78109634183
1950	60362,74307385578
2346	60010,65399087496
2504	59428,61904158619
2513	58866,04206250584
2889	57852,85342525588
3114	57540,83555052601
3284	57258,85446743015
3542	57004,41263558908
4007	56926,25635765409
4044	53990,35880232145
4190	53619,3205320102
4242	53517,090847575244
4665	53249,40422036349
5076	53198,743756300886
5085	52926,64190076868
6350	52360,29410137139
7531	50764,20049048922
7741	50728,04165349162
7858	50572,55881640404
8099	50333,10673621795
8292	49871,75676584746
8691	49656,676658621545
9758	49369,33037116353
10810	49287,37404451835
10840	49162,40934740999
11364	47460,851955411796
16563	47193,771961388105
16727	46887,74246395597
17119	46362,362403193154
17427	46358,45634821664
22537	45932,59090276877
22641	45928,684847792254
31874	45885,2448421403
87966	45501,70958067515
87990	45497,80352569864
88807	45171,03717343697
97907	45167,13111846046
106444	45085,07972001336
186746	44920,86008562028
188102	44761,310232980286
188617	44427,57957093122
191248	44168,457330379315
1191249	44168,457330379315
